Project,Plot,Date,Names,N_distance,top_layer,soil_surface,E_distance,top_layer,soil_surface,notes
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",0.5,NP,HL,0.5,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",1,NP,HL,1,NP,R,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",1.5,NP,HL,1.5,NP,R,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",2,NP,HL,2,AF,R,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",2.5,NP,HL,2.5,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",3,NP,R,3,AF,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",3.5,NP,HL,3.5,AF,R,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",4,NP,HL,4,T,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",4.5,NP,HL,4.5,T,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",5,NP,HL,5,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",5.5,AF,AF,5.5,T,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",6,AF,R,6,NP,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",6.5,NP,HL,6.5,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",7,AF,R,7,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",7.5,NP,R,7.5,NP,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",8,AF,R,8,NP,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",8.5,AF,AF,8.5,NP,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",9,AF,AF,9,NP,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",9.5,NP,HL,9.5,NP,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",10,NP,HL,10,NP,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",10.5,NP,HL,10.5,NP,WL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",11,AF,HL,11,NP,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",11.5,T,HL,11.5,T,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",12,NP,R,12,AF,HL,
DISES,DN015,9/2/23,"ER (KN, LN, CP) ",12.5,AF,HL,12.5,NP,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",0.5,NP,WL,0.5,PG,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",1,PG,HL,1,NP,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",1.5,PG,HL,1.5,PG,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",2,PG,HL,2,NP,S,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",2.5,PG,HL,2.5,T,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",3,PG,S,3,NP,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",3.5,PG,S,3.5,NP,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",4,PG,WL,4,PG,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",4.5,PG,S,4.5,NP,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",5,PG,S,5,T,HL,
DISES,DN033,09/04/23,"LN(CP,CN,ER)",5.5,PG,PG,5.5,T,HL,
