"","Plot ID","Plot Type","Focal Species.x","Plot Notes","Plot Location.x","OBJECTID.x","parent_global_id_PLOT","created_user.x","created_date.x","last_edited_user.x","last_edited_date.x","Position source type","Receiver Name","Latitude","Longitude","Altitude","Horizontal Accuracy (m)","Vertical Accuracy (m)","Fix Time","Fix Type","Correction Age","Station ID","Number of Satellites","PDOP","HDOP","VDOP","Direction of travel (°)","Speed (km/h)","Compass reading (°)","Average Horizontal Accuracy (m)","Average Vertical Accuracy (m)","Averaged Positions","Standard Deviation (m)","x","y","Survey Date","Recorders","Survey Notes","Plot Location.y","Focal Species.y","OBJECTID.y","parent_global_id","created_user.y","created_date.y","last_edited_user.y","last_edited_date.y","Foliar Sample Tree IDs","Top Canopy","Ground Cover","Notes","OBJECTID","GlobalID","created_user","created_date","last_edited_user","last_edited_date","Distance (m)","Manual Distance (m)","Transect Type"
"1","test1","DISES","Quercus emoryi",NA,12,9,"ba243634-c90f-4a48-8a96-74c869017d51","erikjdesilva16","4/11/2023 6:00:15 PM","erikjdesilva16","4/11/2023 6:02:11 PM",3,"Bad Elf Flex #152869",34.893833215,-111.831587401667,1326.85499995422,0.326069011100411,0.503,"4/11/2023 5:57:51 PM",2,6,131,8,1.29999995231628,0.699999988079071,1.10000002384186,298.78,0.16667999999856,275.779963118375,NA,NA,NA,NA,-111.831587402053,34.8938332146723,"4/11/2023 6:03:09 PM","lptn mia mws",NA,12,"Quercus emoryi",12,"7e9f90f1-7542-461e-bbcb-f318c8c87ec6","erikjdesilva16","4/11/2023 6:09:44 PM","erikjdesilva16","4/11/2023 6:09:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","so",NA,42,"bbb8741d-4fcf-49f3-976d-a4a9e3ff4322","erikjdesilva16","4/11/2023 7:47:47 PM","erikjdesilva16","4/11/2023 7:49:15 PM",0.5,NA,"north"
"3","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","wl",NA,43,"c5816427-80fb-4fa8-8c7b-0a29ff13c17e","erikjdesilva16","4/11/2023 8:05:12 PM","erikjdesilva16","4/11/2023 8:05:12 PM",1,NA,"north"
"4","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,44,"b2015d13-383b-4b13-a940-2c31d77b0cb4","erikjdesilva16","4/11/2023 8:05:40 PM","erikjdesilva16","4/11/2023 8:05:40 PM",1.5,NA,"north"
"5","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,45,"07d1f02b-6e65-420d-a641-dee1531b20be","erikjdesilva16","4/11/2023 8:05:57 PM","erikjdesilva16","4/11/2023 8:05:57 PM",2,NA,"north"
"6","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,46,"73e3e42f-852f-4923-9dd8-96e7f6d649cf","erikjdesilva16","4/11/2023 8:06:11 PM","erikjdesilva16","4/11/2023 8:06:11 PM",2.5,NA,"north"
"7","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,47,"ae10e2ce-a7d3-41de-bab4-2e20d05fc584","erikjdesilva16","4/11/2023 8:06:24 PM","erikjdesilva16","4/11/2023 8:06:24 PM",3,NA,"north"
"8","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,48,"b7499d95-b41d-4fb1-98a7-a36eb5a61418","erikjdesilva16","4/11/2023 8:06:37 PM","erikjdesilva16","4/11/2023 8:06:37 PM",3.5,NA,"north"
"9","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","hl",NA,49,"e20f40d8-65b4-4e4f-8d8e-704048407edd","erikjdesilva16","4/11/2023 8:07:14 PM","erikjdesilva16","4/11/2023 8:07:14 PM",4,NA,"north"
"10","DC075","DISES","Quercus emoryi","EOCTRI plot 7 (control)",12,10,"f6b260fe-8f57-430b-be8b-228847ff5ac5","erikjdesilva16","4/11/2023 6:49:10 PM","erikjdesilva16","8/15/2023 5:15:50 PM",3,"Bad Elf Flex #152869",34.89328629,-111.831873368333,1323.69900050354,0.467911316383778,0.628,"4/11/2023 6:45:59 PM",2,7,131,10,1,0.600000023841858,0.800000011920929,201.06,0.16667999999856,99.5961109298335,NA,NA,NA,NA,-111.831873368147,34.8932862896332,"4/11/2023 6:49:45 PM","LPTN MWS MIA SKLS","lacking non veg option for LPI: trees = no veg for this survey",12,"Quercus emoryi",13,"edd9d5ab-18eb-4368-9dde-f02a9d91a4ed","erikjdesilva16","4/11/2023 6:52:52 PM","erikjdesilva16","4/12/2023 9:48:18 PM",NA,"s","wl",NA,50,"0093795d-4fba-4769-a573-96e2210b8c4b","erikjdesilva16","4/11/2023 8:07:24 PM","erikjdesilva16","4/11/2023 8:07:24 PM",4.5,NA,"north"
